"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCasesPer1M,Deaths/1M pop,TotalTests,TestsPer1M pop,Population,Continent
USA,109199383,5385,1181273,26,107094359,"27,424","9,23,751","1,385",326158,3528,1186431560,3543647,334805269,North America
India,45001268,null,533293,null,0,N/A,N/A,N/A,31992,379,930797975,661721,1406631776,Asia
France,40138560,null,167642,null,39970918,,0,869,612013,2556,271490188,4139547,65584518,Europe
Germany,38553102,null,176793,null,38240600,,"1,35,709",N/A,459602,2108,122332384,1458359,83883596,Europe
Brazil,37949944,null,706808,null,36249161,,"9,93,975",N/A,176222,3282,63776166,296146,215353593,South America
S. Korea,34571873,null,35934,null,34535939,,0,231,673523,700,15804065,307892,51329899,Asia
Japan,33803572,null,74694,null,0,N/A,N/A,83,269169,595,100414883,799578,125584838,Asia
Italy,26230177,null,192406,null,25874442,,"1,63,329",118,435263,3193,275228417,4567139,60262770,Europe
UK,24789488,null,230669,null,24535534,"2,502","23,285",N/A,361901,3368,522526476,7628357,68497907,Europe
Russia,23124717,null,400256,null,22550793,,"1,73,668",N/A,158599,2745,273400000,1875095,145805947,Europe
Turkey,17232066,null,102174,null,0,N/A,N/A,,201399,1194,162743369,1902052,85561976,Asia
Spain,13914811,null,121760,null,13762417,,"30,634",231,297840,2606,471036328,10082298,46719142,Europe
Australia,11793995,null,22885,null,11765075,,"6,035",21,452418,878,81916639,3142326,26068792,Australia/Oceania
Vietnam,11624114,null,43206,null,10640971,,"9,39,937",,117470,437,85826548,867342,98953541,Asia
Taiwan,10241523,null,19005,null,10222518,,0,,428720,796,30742304,1286903,23888595,Asia
Argentina,10080046,null,130685,null,9947549,,"1,812",363,219083,2840,35716069,776264,46010234,South America
Netherlands,8619835,null,22992,null,8595823,,"1,020",53,500820,1336,25984435,1509718,17211447,Europe
Mexico,7649199,null,334472,null,6899865,,"4,14,862",N/A,58141,2542,20013810,152124,131562772,North America
Iran,7619981,null,146480,null,7377233,,"96,268",18,88581,1703,57320267,666338,86022837,Asia
Indonesia,6813719,null,161920,null,6646937,,"4,862",N/A,24410,580,114158919,408975,279134505,Asia
Poland,6534911,874,119688,2,5335940,,"10,79,283",53,173157,3171,38889035,1030452,37739785,Europe
Colombia,6384009,null,143067,null,6203441,,"37,501",342,123931,2777,36951507,717327,51512762,South America
Greece,6101379,null,37089,null,6064290,,0,115,591412,3595,102228365,9909078,10316637,Europe
Austria,6081287,null,22542,null,6054934,,"3,811",14,670727,2486,211273524,23302116,9066710,Europe
Portugal,5631281,null,27686,null,5599676,398,"3,919",61,555322,2730,46139518,4549993,10140570,Europe
Ukraine,5557995,null,112418,null,5445577,,0,,128681,2603,32603805,754855,43192122,Europe
Chile,5302420,null,64497,null,5237487,,436,30,275448,3350,50197029,2607611,19250195,South America
Malaysia,5129800,null,37181,null,5080973,,"11,646",4,154600,1121,68580916,2066869,33181072,Asia
Israel,4840714,null,12697,null,4798473,,"29,544",21,519056,1361,41373364,4436346,9326000,Asia
Belgium,4825553,null,34376,null,4782820,,"8,357",43,413562,2946,37018657,3172590,11668278,Europe
Canada,4777664,null,54734,null,4684204,,"38,726",99,124456,1426,66487884,1731978,38388419,North America
DPRK,4772813,null,74,null,4772739,,0,,183636,3,null,null,25990679,Asia
Thailand,4758125,null,34488,null,4692636,,"31,001",N/A,67897,492,17270775,246450,70078203,Asia
Czechia,4668164,993,42929,3,4617827,123,"7,408",28,434782,3998,57373332,5343624,10736784,Europe
Peru,4519976,null,222161,null,4297815,,0,4,134187,6595,39010194,1158115,33684208,South America
Switzerland,4420514,null,14452,null,4399989,"1,001","6,073",39,503841,1647,23833472,2716487,8773637,Europe
Philippines,4120028,null,66736,null,4050476,,"2,816",162,36620,593,35928299,319337,112508994,Asia
South Africa,4076463,null,102595,null,3912506,,"61,362",192,67095,1689,26795090,441027,60756135,Africa
Romania,3497226,null,68525,null,3417267,,"11,434",87,183761,3601,28246350,1484202,19031335,Europe
Denmark,3183756,null,8814,null,3174942,,0,4,545636,1511,129333107,22165247,5834950,Europe
Hong Kong,2923383,null,14310,null,2905716,,"3,357",28,384438,1882,76127725,10011143,7604299,Asia
Sweden,2723397,null,25141,null,2693396,41,"4,860",1,266504,2460,19500873,1908301,10218971,Europe
Singapore,2651993,null,1900,null,2149583,,"5,00,510",3,446197,320,24756666,4165302,5943546,Asia
Serbia,2572340,null,18057,null,2545937,,"8,346",,297277,2087,13167633,1521739,8653016,Europe
New Zealand,2485937,null,4958,null,2478402,,"2,577",,507520,1012,7768604,1586011,4898203,Australia/Oceania
Iraq,2465545,null,25375,null,2439497,,673,21,58474,602,19544451,463523,42164965,Asia
Hungary,2207993,null,48881,null,2152155,,"6,957",2,229849,5088,11394556,1186160,9606259,Europe
Bangladesh,2045892,null,29477,null,1998448,,"17,967",N/A,12186,176,15254399,90862,167885689,Asia
Slovakia,1868301,null,21167,null,1846766,,368,11,342168,3877,7443081,1363153,5460193,Europe
Georgia,1855289,null,17132,null,1776548,,"61,609",,467476,4317,16920079,4263340,3968738,Asia
Jordan,1746997,null,14122,null,1731007,,"1,868",59,169597,1371,17201885,1669945,10300869,Asia
Ireland,1723615,null,9322,null,1711830,,"2,463",19,343336,1857,13083449,2606161,5020199,Europe
Pakistan,1581926,null,30664,null,1538689,,"12,573",,6893,134,30589153,133292,229488994,Asia
Finland,1490937,null,10286,null,1476575,70,"4,076",21,268397,1852,12108977,2179850,5554960,Europe
Norway,1489459,null,5732,null,1483727,,0,20,270252,1040,11002430,1996315,5511370,Europe
Kazakhstan,1411831,null,13848,null,1383020,,"14,963",24,73514,721,11575012,602707,19205043,Asia
Slovenia,1346977,31,7100,null,1339060,53,817,8,648198,3417,2847701,1370382,2078034,Europe
Lithuania,1339887,532,9735,null,1323309,281,"6,843",1,503394,3657,10522423,3953260,2661708,Europe
Bulgaria,1323939,320,38556,1,1280072,476,"5,311",34,193428,5633,11430761,1670041,6844597,Europe
Guatemala,1278762,52,20264,null,1258308,36,190,5,68810,1090,7593848,408622,18584039,North America
Morocco,1277082,null,16297,null,1256151,,"4,634",3,33810,431,13001033,344191,37772756,Africa
Croatia,1276497,null,18438,null,1257638,,421,,314463,4542,5649761,1391812,4059286,Europe
Lebanon,1243838,null,10952,null,1087587,,"1,45,299",74,186068,1638,4795578,717380,6684849,Asia
Costa Rica,1238883,null,9428,null,860711,,"3,68,744",52,239058,1819,4659757,899158,5182354,North America
Bolivia,1209431,null,22404,null,1177145,,"9,882",220,100848,1868,2710261,225993,11992656,South America
Tunisia,1153361,null,29423,null,0,N/A,N/A,44,95741,2442,5013383,416164,12046656,Africa
Cuba,1115146,null,8530,null,1106553,,63,,98636,754,14345940,1268918,11305652,North America
Ecuador,1069139,null,36043,null,1033096,,0,759,59025,1990,3082403,170173,18113361,South America
UAE,1067030,null,2349,null,1054525,,"10,156",,105837,233,200732262,19910389,10081785,Asia
Panama,1049089,null,8666,null,1040268,,155,16,235911,1949,7811039,1756488,4446964,North America
Uruguay,1038774,null,7634,null,1030944,,196,18,297131,2184,6114822,1749083,3496016,South America
Mongolia,1011170,null,2179,null,1008991,,0,192,299333,645,4030048,1193000,3378078,Asia
Nepal,1003450,null,12031,null,991322,,97,,33199,398,6047766,200088,30225582,Asia
Belarus,994037,null,7118,null,985592,,"1,327",,105381,755,13646641,1446722,9432800,Europe
Latvia,979242,null,6412,null,971406,,"1,424",,529653,3468,7883831,4264211,1848837,Europe
Saudi Arabia,841469,null,9646,null,827923,,"3,900",66,23475,269,45481735,1268848,35844909,Asia
Azerbaijan,834050,null,10356,null,823588,,106,,80974,1005,7703250,747873,10300205,Asia
Paraguay,815869,null,20028,null,0,N/A,N/A,7,111673,2741,2657506,363751,7305843,South America
Bahrain,729301,20,1574,null,727657,19,70,4,408805,882,10941565,6133223,1783983,Asia
Sri Lanka,672597,null,16882,null,655708,,7,,31174,782,6486117,300619,21575842,Asia
Dominican Republic,670627,null,4384,null,666104,,139,4,60655,397,3740928,338350,11056370,North America
Kuwait,666432,null,2570,null,660237,,"3,625",,152142,587,8455743,1930391,4380326,Asia
Cyprus,660854,null,1364,null,659490,,0,60,540184,1115,9640118,7879860,1223387,Asia
Myanmar,641344,2,19495,null,619922,,"1,927",,11613,353,11408083,206567,55227143,Asia
Moldova,625712,null,12135,null,504142,,"1,09,435",49,155915,3024,3216305,801437,4013171,Europe
Palestine,621008,null,5404,null,615445,,159,17,116173,1011,3078533,575907,5345541,Asia
Estonia,620716,null,3001,null,524990,,"92,725",,469560,2270,3748182,2835429,1321910,Europe
Venezuela,552695,null,5856,null,546537,,302,31,18885,200,3359014,114771,29266991,South America
Egypt,516023,null,24613,null,442182,,"49,228",122,4861,232,3693367,34792,106156692,Africa
Qatar,514524,null,690,null,513687,,147,16,172664,232,4065369,1364257,2979915,Asia
Libya,507274,null,6437,null,500835,,2,,72048,914,2483848,352782,7040745,Africa
China,503302,null,5272,null,379053,,"1,18,977","7,557",347,4,160000000,110461,1448471400,Asia
Ethiopia,501060,null,7574,null,488171,,"5,315",,4147,63,5565340,46066,120812698,Africa
Réunion,486588,null,921,null,418572,,"67,095",10,535854,1014,1603660,1766027,908061,Africa
Honduras,474587,null,11165,null,0,N/A,N/A,105,46431,1092,1660662,162472,10221247,North America
Armenia,450334,null,8762,null,435162,,"6,410",,151527,2948,3242901,1091164,2971966,Asia
Bosnia and Herzegovina,403266,null,16362,null,379084,,"7,820",,124108,5036,1884721,580036,3249317,Europe
Oman,399449,null,4628,null,384669,,"10,152",2,75028,869,25000000,4695724,5323993,Asia
Zambia,349287,null,4069,null,341316,,"3,902",,17940,209,4112961,211244,19470234,Africa
North Macedonia,348411,null,9941,null,337068,,"1,402",,167400,4776,2226216,1069626,2081304,Europe
Kenya,344070,null,5689,null,337309,,"1,072",1,6121,101,3967062,70569,56215221,Africa
Albania,334726,null,3602,null,329428,,"1,696",,116777,1257,1941032,677173,2866374,Europe
Botswana,330321,null,2801,null,327049,,471,1,135313,1147,2026898,830300,2441162,Africa
Luxembourg,319959,null,1232,null,316690,,"2,037",,498091,1918,4587145,7140959,642371,Europe
Brunei,312094,null,225,null,243601,,"68,268",,700656,505,717784,1611437,445431,Asia
Montenegro,294074,null,2832,null,290516,,726,6,468308,4510,2764972,4403172,627950,Europe
Algeria,271945,null,6881,null,183061,,"82,003",,5997,152,230960,5093,45350148,Africa
Nigeria,267146,null,3155,null,259953,,"4,038",11,1233,15,5708974,26339,216746934,Africa
Zimbabwe,265821,null,5720,null,258888,,"1,213",12,17338,373,2525756,164744,15331428,Africa
Uzbekistan,253662,null,1637,null,241486,,"10,539",23,7378,48,1377915,40077,34382084,Asia
Mozambique,233654,null,2249,null,228805,,"2,600",11,7061,68,1371127,41437,33089461,Africa
Martinique,230354,null,1102,null,0,N/A,N/A,12,615777,2946,828928,2215870,374087,North America
Afghanistan,227621,56,7954,1,207458,33,"12,209",,5585,195,1322642,32454,40754388,Asia
Laos,218891,null,758,null,0,N/A,N/A,,29260,101,1233207,164845,7481023,Asia
Iceland,209191,null,229,null,0,N/A,N/A,2,605661,663,1996384,5780036,345393,Europe
Kyrgyzstan,206897,null,2991,null,196406,,"7,500",131,30750,445,1907195,283460,6728271,Asia
Guadeloupe,203235,null,1021,null,0,N/A,N/A,19,508349,2554,938039,2346306,399794,North America
El Salvador,201807,null,4230,null,179410,,"18,167",8,30808,646,2610114,398467,6550389,North America
Trinidad and Tobago,191496,null,4390,null,187078,,28,8,136143,3121,913289,649295,1406585,North America
Maldives,186694,null,316,null,163687,,"22,691",25,345100,584,2213831,4092223,540985,Asia
Namibia,172123,null,4100,null,167099,,924,,65350,1557,1062663,403460,2633874,Africa
Uganda,171871,null,3632,null,100431,,"67,808",3,3549,75,3012408,62198,48432863,Africa
Ghana,171780,null,1462,null,170318,,0,2,5303,45,2538052,78346,32395450,Africa
Jamaica,156469,null,3664,null,103191,,"49,614",,52417,1227,1183986,396633,2985094,North America
Cambodia,138944,1,3056,null,135885,,3,,8093,178,3091420,180062,17168639,Asia
Rwanda,133518,null,1468,null,132039,,11,,9817,108,6021981,442778,13600464,Africa
Cameroon,125205,null,1974,null,123224,,7,13,4486,71,1751774,62762,27911548,Africa
Malta,120716,null,865,null,119377,,474,,271863,1948,2156172,4855882,444033,Europe
Barbados,110235,null,641,null,108647,,947,,382730,2226,810447,2813827,288023,North America
Angola,105976,null,1936,null,103419,,621,,3026,55,1499795,42818,35027343,Africa
Channel Islands,101717,null,228,null,101321,,168,,576421,1292,1252808,7099551,176463,Europe
DRC,99181,null,1468,null,84489,,"13,224",,1041,15,846704,8890,95240792,Africa
French Guiana,98041,null,420,null,11254,,"86,367",6,312065,1337,651257,2072951,314169,South America
Senegal,89022,null,1971,null,87024,,27,,5043,112,1146543,64946,17653671,Africa
Malawi,88986,null,2686,null,85651,,649,67,4409,133,624784,30959,20180839,Africa
Ivory Coast,88338,null,835,null,87497,,6,,3184,30,1690934,60951,27742298,Africa
Suriname,82588,null,1408,null,0,N/A,N/A,,138378,2359,242207,405822,596831,South America
New Caledonia,80064,null,314,null,79605,,145,9,275214,1079,98964,340182,290915,Australia/Oceania
French Polynesia,78649,null,649,null,0,N/A,N/A,7,276773,2284,null,null,284164,Australia/Oceania
Eswatini,75094,null,1427,null,73116,,551,,63380,1204,1048704,885119,1184817,Africa
Guyana,73385,null,1299,null,72013,,73,,92419,1636,733218,923396,794045,South America
Belize,71060,null,688,null,70085,,287,6,172396,1669,576016,1397453,412190,North America
Fiji,69117,null,885,null,67226,,"1,006",,75997,973,672883,739866,909466,Australia/Oceania
Madagascar,68354,null,1425,null,66862,,67,,2343,49,531329,18210,29178077,Africa
Cabo Verde,64470,null,416,null,63755,,299,23,113568,733,401622,707482,567678,Africa
Sudan,63993,null,5046,null,58947,,0,,1391,110,562941,12240,45992020,Africa
Mauritania,63774,null,997,null,62471,,306,,13010,203,1009957,206030,4901981,Africa
Bhutan,62697,null,21,null,61564,,"1,112",,79571,27,2303734,2923739,787941,Asia
Syria,57743,null,3165,null,54578,,0,,2982,163,146269,7553,19364809,Asia
Burundi,54366,null,38,null,53569,,759,,4306,3,345742,27386,12624840,Africa
Seychelles,50937,null,172,null,50750,,15,,512311,1730,null,null,99426,Africa
Gabon,48992,null,307,null,48674,,11,,21013,132,1621909,695641,2331533,Africa
Andorra,48015,null,165,null,47563,,287,14,619844,2130,249838,3225256,77463,Europe
Papua New Guinea,46864,null,670,null,46168,,26,7,5043,72,249149,26813,9292169,Australia/Oceania
Curaçao,45986,null,295,null,44720,,971,3,277812,1782,496693,3000640,165529,North America
Aruba,44224,null,292,null,42438,,"1,494",2,410969,2714,177885,1653068,107609,North America
Tanzania,43078,null,846,null,0,N/A,N/A,7,681,13,null,null,63298550,Africa
Mauritius,43025,null,1051,null,41278,,696,,33752,824,358675,281374,1274727,Africa
Mayotte,42027,null,188,null,0,N/A,N/A,,146815,657,176919,618038,286259,Africa
Togo,39524,null,290,null,39216,,18,,4553,33,812881,93641,8680837,Africa
Guinea,38563,null,468,null,37757,,338,8,2781,34,660107,47607,13865691,Africa
Bahamas,38084,null,844,null,36366,,874,1,95087,2107,257839,643767,400516,North America
Isle of Man,38008,null,116,null,0,N/A,N/A,,443335,1353,150753,1758422,85732,Europe
Lesotho,34790,null,723,null,25980,,"8,087",,15990,332,431221,198199,2175699,Africa
Faeroe Islands,34658,null,28,null,0,N/A,N/A,5,703959,569,778000,15802409,49233,Europe
Haiti,34403,null,860,null,33372,,171,,2945,74,132422,11337,11680283,North America
Mali,33159,null,743,null,32332,,84,,1544,35,804909,37483,21473764,Africa
Cayman Islands,31472,null,37,null,8553,,"22,882",1,467797,550,222773,3311280,67277,North America
Saint Lucia,30149,null,410,null,29095,,644,,162868,2215,210983,1139752,185113,North America
Benin,28036,null,163,null,27847,,26,,2193,13,604310,47268,12784726,Africa
Somalia,27334,null,1361,null,13182,,"12,791",,1623,81,400466,23778,16841795,Africa
Micronesia,26547,null,65,null,0,N/A,N/A,1,225953,553,82430,701598,117489,Australia/Oceania
Congo,25375,null,386,null,24006,,983,,4377,67,347815,59991,5797805,Africa
San Marino,24915,null,126,null,24760,,29,4,730967,3697,196855,5775414,34085,Europe
Solomon Islands,24575,null,153,null,0,N/A,N/A,1,34077,212,null,null,721159,Australia/Oceania
Timor-Leste,23460,null,138,null,23102,,220,,17131,101,278529,203391,1369429,Asia
Burkina Faso,22056,null,396,null,21596,,64,,998,18,248995,11265,22102838,Africa
Liechtenstein,21504,null,94,null,21352,,58,,560190,2449,112457,2929559,38387,Europe
Gibraltar,20550,null,113,null,16579,,"3,858",,609720,3353,534283,15852213,33704,Europe
Macao,19741,null,123,null,3487,,"16,131",,29575,184,7850,11760,667490,Asia
Grenada,19693,null,238,null,19358,,97,4,173545,2097,182981,1612523,113475,North America
Bermuda,18860,null,165,null,18685,,10,,304493,2664,1029558,16622128,61939,North America
Nicaragua,18491,null,225,null,4225,,"14,041",,2728,33,null,null,6779100,North America
South Sudan,18368,null,138,null,18115,,115,1,1581,12,410280,35313,11618511,Africa
Tajikistan,17786,null,125,null,17264,,397,,1786,13,null,null,9957464,Asia
Equatorial Guinea,17229,null,183,null,16907,,139,5,11512,122,365697,244342,1496662,Africa
Monaco,17072,null,67,null,15992,,"1,013",4,429128,1684,78646,1976875,39783,Europe
Tonga,16846,null,13,null,15638,,"1,195",,156345,121,535009,4965327,107749,Australia/Oceania
Samoa,16778,null,31,null,1605,,"15,142",,82961,153,187397,926612,202239,Australia/Oceania
Marshall Islands,16138,null,17,null,16121,,0,,268711,283,null,null,60057,Australia/Oceania
Dominica,15798,null,74,null,15673,,51,,218373,1023,229344,3170187,72344,North America
Djibouti,15690,null,189,null,15427,,74,,15441,186,305941,301094,1016097,Africa
CAR,15368,null,113,null,15200,,55,2,3063,23,81294,16205,5016678,Africa
Gambia,12626,null,372,null,12189,,65,,4935,145,155686,60851,2558482,Africa
Saint Martin,12324,null,63,null,1399,,"10,862",7,310194,1586,112382,2828643,39730,North America
Vanuatu,12019,null,14,null,11976,,29,,37346,44,24976,77606,321832,Australia/Oceania
Greenland,11971,null,21,null,2761,,"9,189",4,210117,369,164926,2894810,56973,North America
Yemen,11945,null,2159,null,9124,,662,23,383,69,329592,10579,31154867,Asia
Caribbean Netherlands,11682,null,38,null,10476,,"1,168",,438398,1426,30126,1130559,26647,North America
Sint Maarten,11051,null,92,null,10905,,54,N/A,251353,2093,62056,1411454,43966,North America
Eritrea,10189,null,103,null,10086,,0,,2782,28,23693,6470,3662244,Africa
Niger,9931,null,312,null,8890,,729,1,381,12,254538,9759,26083660,Africa
St. Vincent Grenadines,9644,null,124,null,9493,,27,,86454,1112,114197,1023720,111551,North America
Guinea-Bissau,9614,null,177,null,8929,,508,6,4659,86,145231,70385,2063367,Africa
Comoros,9109,null,161,null,8939,,9,,10038,177,null,null,907419,Africa
Antigua and Barbuda,9106,null,146,null,8954,,6,1,91509,1467,18901,189943,99509,North America
Liberia,8090,null,295,null,7783,,12,2,1525,56,139824,26356,5305117,Africa
Sierra Leone,7766,null,126,null,0,N/A,N/A,,935,15,259958,31296,8306436,Africa
Chad,7701,null,194,null,4874,,"2,633",,442,11,191341,10988,17413580,Africa
British Virgin Islands,7305,null,64,null,0,N/A,N/A,,238757,2092,107339,3508269,30596,North America
Cook Islands,7168,null,2,null,7150,,16,,407945,114,19690,1120596,17571,Australia/Oceania
Turks and Caicos,6656,null,39,null,6602,,15,4,167484,981,615226,15480889,39741,North America
Saint Kitts and Nevis,6607,null,48,null,6559,,0,,122645,891,126958,2356704,53871,North America
Sao Tome and Principe,6601,null,80,null,6521,,0,,28993,351,29036,127530,227679,Africa
Palau,6246,null,9,null,6236,,1,,342566,494,70831,3884769,18233,Australia/Oceania
St. Barth,5507,null,6,null,0,N/A,N/A,,553746,603,78646,7908095,9945,North America
Nauru,5393,null,1,null,5347,,45,,494635,92,20509,1881042,10903,Australia/Oceania
Kiribati,5085,null,24,null,2703,,"2,358",3,41201,194,null,null,123419,Australia/Oceania
Anguilla,3904,null,12,null,3879,,13,4,256336,788,51382,3373736,15230,North America
Wallis and Futuna,3550,null,8,null,438,,"3,104",,323256,728,20508,1867419,10982,Australia/Oceania
Saint Pierre Miquelon,3452,null,2,null,2449,,"1,001",1,599410,347,25400,4410488,5759,North America
Tuvalu,2943,null,1,null,null,,"2,942",,243909,83,null,null,12066,Australia/Oceania
Saint Helena,2166,null,null,null,2,,"2,164",,354211,null,null,null,6115,Africa
Falkland Islands,1930,null,null,null,1930,,0,,545352,null,8632,2439107,3539,South America
Montserrat,1403,null,8,null,1376,,19,,282578,1611,17762,3577442,4965,North America
Niue,889,null,null,null,887,,2,,548089,null,null,null,1622,Australia/Oceania
Diamond Princess,712,null,13,null,699,,0,,null,null,null,null,null,
Tokelau,80,null,null,null,null,,80,,58055,null,null,null,1378,Australia/Oceania
Vatican City,29,null,null,null,29,,0,,36295,null,null,null,799,Europe
Western Sahara,10,null,1,null,9,,0,,16,2,null,null,626161,Africa
MS Zaandam,9,null,2,null,7,,0,,null,null,null,null,null,
